date,D,H,H2,H3,H4,SinD,CosD,T
1994-11-29,6.390000000000001,63.839999999999996,4075.5455999999995,260182.83110399995,16610071.937679356,-0.52,0.85,1054
1994-12-12,6.53,61.669999999999995,3803.188899999999,234542.65946299993,14464245.809083205,-0.32,0.95,1067
1994-12-27,5.27,59.849999999999994,3582.022499999999,214384.04662499993,12830885.190506246,-0.07,1.0,1082
1995-01-09,3.45,65.94,4348.0836,286712.63258399995,18905830.992588956,0.15,0.99,1095
1995-01-23,1.9800000000000004,67.55,4563.0025,308230.81887499994,20820991.815006245,0.39,0.92,1109
1995-02-06,1.910000000000001,66.78,4459.5684,297809.97775200004,19887750.31427856,0.59,0.8,1123
1995-02-20,0.8600000000000012,70.0,4900.0,343000.0,24010000.0,0.77,0.64,1137
1995-03-06,0.3000000000000007,70.14,4919.6196,345062.11874400004,24202657.00870416,0.9,0.44,1151
1995-03-20,0.3700000000000001,68.46,4686.771599999999,320856.38373599993,21965828.03056655,0.98,0.21,1165
1995-04-03,2.4000000000000004,68.80999999999999,4734.816099999998,325802.69584099983,22418483.500819195,1.0,-0.03,1179
1995-04-18,3.87,69.23,4792.7929,331805.05246700003,22970863.782290414,0.96,-0.28,1194
1995-05-02,2.54,70.63,4988.5969,352344.59904699994,24886099.030689605,0.86,-0.5,1208
1995-05-15,3.1000000000000005,70.69999999999999,4998.489999999998,353393.24299999984,24984902.280099984,0.73,-0.68,1221
1995-05-29,3.66,70.98,5038.160400000001,357608.62519200006,25383060.216128167,0.55,-0.84,1235
1995-06-12,7.09,66.99,4487.660099999999,300628.3500989999,20139093.173132002,0.33,-0.94,1249
1995-06-26,8.7,65.86999999999999,4338.856899999999,285800.50400299986,18825679.1986776,0.09,-1.0,1263
1995-07-10,9.19,66.36,4403.6496,292226.187456,19392129.79958016,-0.15,-0.99,1277
1995-07-24,12.2,66.57,4431.564899999999,295009.27539299993,19638767.462912,-0.38,-0.93,1291
1995-08-07,12.129999999999999,66.78,4459.5684,297809.97775200004,19887750.31427856,-0.59,-0.81,1305
1995-08-21,13.18,66.08,4366.5664,288542.707712,19066902.12560896,-0.76,-0.65,1319
1995-09-04,13.81,65.94,4348.0836,286712.63258399995,18905830.992588956,-0.9,-0.44,1333
1995-09-19,11.57,65.59,4302.048100000001,282171.33487900003,18507617.854713615,-0.98,-0.2,1348
